Code,Department Name,Undergrad Courses
AAAS,African and African American Studies,161
AMEL,Asian and Middle Eastern Languages and Literatures,7
AMES,Asian and Middle Eastern Studies,89
ANTH,Anthropology,141
ARAB,Arabic,47
ARTH,Art History,184
ASCL,,116
ASTR,Astronomy,15
BIOL,Biological Sciences,86
CHEM,Chemistry,43
CHIN,Chinese,41
CLST,Classical Studies,71
COCO,College Courses,33
COGS,Cognitive Science,23
COLT,Comparative Literature,163
COSC,Computer Science,114
CRWT,,29
EARS,Earth Sciences,68
ECON,Economics,55
EDUC,Education,42
ENGL,English,263
ENGS,Engineering Sciences,88
ENVS,Environmental Studies,64
FILM,Film and Media Studies,131
FREN,French,92
FRIT,French and Italian in Translation,18
GEOG,Geography,132
GERM,German Studies,85
GOVT,Government,273
GRK,Greek,24
HCDS,,1
HEBR,Hebrew,18
HIST,History,239
HUM,Humanities,11
INTS,International Studies,18
ITAL,Italian,54
JAPN,Japanese,26
JWST,Jewish Studies,87
LACS,Latin American and Caribbean Studies,74
LAT,Latin,36
LATS,Latino Studies,26
LING,Linguistics,55
MATH,Mathematics,66
MES,,79
MUS,Music,160
NAS,Native American Studies,65
PBPL,Public Policy,38
PHIL,Philosophy,149
PHYS,Physics,51
PORT,Portuguese,31
PSYC,Psychological and Brain Sciences,119
QSS,Quantitative Social Science,37
REL,Religion,200
RUSS,Russian Language and Literature,60
SART,Studio Art,44
SOCY,Sociology,92
SPAN,Spanish,137
SPEE,Speech,16
SSOC,Social Science,1
THEA,Theater,72
TUCK,Tuck Undergraduate Courses,3
WGSS,"Women's, Gender, and Sexuality Studies",147
WRIT,Writing Courses,50
